source,id,name,url,price_value,price_currency,price_period,price_low,price_high,price_text,address,city,country,postal_code,lat,lng,rating,rating_count,type,image,description,source_url
amberstudent,amberstudent:iq-will-wyatt-court-london-1911148077432,"iQ Will Wyatt Court, London",https://www.iqstudentaccommodation.com/search/building/will-wyatt-court?year=2020-21,294.0,GBP,week,294.0,363.0,294.0,"168 Pitfield St, London N1 6JP, UK",London,GB,N1 6JP,51.531555,-0.0827499,4.4,8,student_accommodation,https://assets.amberstudent.com/inventories/147108/6808d855.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:chapter-ealing-london-1902122096174,"Chapter Ealing, London",https://www.chapter-living.com/properties/ealing/,296.0,GBP,week,296.0,471.0,296.0,"Holbrook House, 3 Victoria Rd, North Acton, London W3 6UN, UK",London,GB,W3 6UN,51.5233162,-0.2609116999999999,4.7,10,student_accommodation,https://assets.amberstudent.com/inventories/1178465/18b855ba.jpeg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:axo-islington-london-1709152706379,"AXO Islington, London",http://axostudent.co.uk/properties/axo-islington/,299.0,GBP,week,299.0,442.0,299.0,"556 Holloway Rd, London N7 6JP, UK",London,GB,N7 6JP,51.5601527,-0.1223038,4.8,8,student_accommodation,https://assets.amberstudent.com/inventories/137460/78da0f16.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:charles-morton-court-london-1807110338424,"Charles Morton Court, London ",https://prestigestudentliving.com/student-accommodation/london/charles-morton-court,299.0,GBP,week,299.0,325.0,299.0,"37-43 Green Lanes, Newington Green, London N16 9BS, UK",London,GB,N16 9BS,51.5526405,-0.08735020000000002,4.8,10,student_accommodation,https://assets.amberstudent.com/inventories/184701/6603f01b.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:flora-building-london-2003182949070,"Flora Building, London",https://prestigestudentliving.com/student-accommodation/london/flora-building,299.0,GBP,week,299.0,589.0,299.0,"11-13 Long St, London E2 8HJ, UK",London,GB,E2 8HJ,51.529413,-0.07583949999999998,4.9,7,student_accommodation,https://assets.amberstudent.com/inventories/189411/865e2cc4.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:great-court-bermondsey-2103105499931,"Great Court, London",https://www.thisisfresh.com/london/great-court,299.0,GBP,week,299.0,435.0,299.0,"78 Rolls Rd, London SE1 5DU, UK",London,GB,SE1 5DU,51.4870832,-0.0659877,4.7,3,student_accommodation,https://assets.amberstudent.com/inventories/1462295/c6e5aff2.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:east-central-house-london-2311140711466,"East Central House, London",https://www.unitestudents.com/london/east-central-house?academicYear=24%2F25&lengthOfStay,301.0,GBP,week,301.0,490.0,301.0,"East Central House, 115 Lever St, London EC1V 3RH, UK",London,GB,EC1V 3RH,51.52723,-0.0951,,,student_accommodation,https://assets.amberstudent.com/inventories/924831/01e521ff.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:west-court-london-2203290250653,"West Court, London",https://www.gravitycoliving.com/locations/gravity-london-west-court/,304.0,GBP,week,304.0,341.0,304.0,"21 Wivenhoe Ct, Staines Rd, Hounslow TW3 3JW, UK",Hounslow,GB,TW3 3JW,51.465935699999996,-0.377359,,,student_accommodation,https://assets.amberstudent.com/inventories/214826/24c255ad.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:iq-highbury-london-1811163333778,"iQ Highbury, London",https://www.iqstudentaccommodation.com/search/building/highbury?year=2019-20,305.0,GBP,week,305.0,469.0,305.0,"201 Isledon Rd, Finsbury Park, London N7 7JR, UK",London,GB,N7 7JR,51.56267870000001,-0.1075997,4.8,10,student_accommodation,https://assets.amberstudent.com/inventories/143164/84374e86.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:don-gratton-house-london-2505030425794,"Don Gratton House, London",https://www.sanctuary-students.com/student-accommodation/london/don-gratton-house,296.0,GBP,week,296.0,320.0,296.0,"Don Gratton House, 82 Old Montague St, London E1 5NN, UK",London,GB,E1 5NN,51.5185384,-0.06592900000000002,,,student_accommodation,https://assets.amberstudent.com/inventories/1834101/72b7d252.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:camden-hawley-crescent-london-1708174027832,"Camden Hawley Crescent, London ",https://www.studentcastle.co.uk/locations/london-hawley-crescent/,319.0,GBP,week,319.0,475.0,319.0,"13 Hawley Cres, London NW1 8NP, UK",London,GB,NW1 8NP,51.54083869999999,-0.1427994,4.8,9,student_accommodation,https://assets.amberstudent.com/inventories/138770/d4e2be65.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:south-bermondsey-london-2312296577453,"YourTRIBE South Bermondsey, London",https://www.yourtribe.com/buildings/south-bermondsey/,319.0,GBP,week,319.0,419.0,319.0,"349 Ilderton Rd, London SE15 1NW, UK",London,GB,SE15 1NW,51.479285106713846,-0.054214481177456704,,,student_accommodation,https://assets.amberstudent.com/inventories/937242/d6136802.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:hayloft-point-london-2111193670242,"Hayloft Point, London",https://www.unitestudents.com/london/hayloft-point?academicYear=23%2F24,320.0,GBP,week,320.0,564.0,320.0,"16 Middlesex St, London E1 7EZ, UK",London,GB,E1 7EZ,51.51625319999999,-0.0762484,5.0,3,student_accommodation,https://assets.amberstudent.com/inventories/203328/bad4d84e.jpeg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:axo-seven-sisters-2211069713867,"AXO Seven Sisters, London",https://axostudent.co.uk/properties/axo-seven-sisters/,321.0,GBP,week,321.0,364.0,321.0,"2 Chesnut Rd, London N17 9EN, UK",London,GB,N17 9EN,51.5908966,-0.0692224,5.0,9,student_accommodation,https://assets.amberstudent.com/inventories/238808/0e2e4331.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:axo-kingston-kingston-upon-thames-1608301694627,"AXO Kingston, Kingston Upon Thames",https://axostudent.co.uk/properties/axo-kingston/,325.0,GBP,week,325.0,355.0,325.0,"180-190 London Rd, Kingston upon Thames KT2 6QW, UK",Kingston upon Thames,GB,KT2 6QW,51.412811999999995,-0.288471,4.8,6,student_accommodation,https://assets.amberstudent.com/inventories/141558/1ecd2662.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:londonist-portobello-residence-london-2003135314045,"LST Portobello Residence, London",https://www.londonist.co.uk/residences/portobello-residence_9,325.0,GBP,week,325.0,510.0,325.0,"1 Alderson St, London W10 5JY, UK",London,GB,W10 5JY,51.526378,-0.2097883,4.7,3,student_accommodation,https://assets.amberstudent.com/inventories/149407/27d57946.jpg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:londonist-lewisham-residence-london-2003138583689,"LST Lewisham Residence, London",https://www.londonist.co.uk/residences/lewisham-residence_8,325.0,GBP,week,325.0,425.0,325.0,"46 Thurston Rd, London SE13 7SD, UK",London,GB,SE13 7SD,51.46640009999999,-0.0164776,5.0,3,student_accommodation,https://assets.amberstudent.com/inventories/269477/772a18dd.jpeg,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:element-bermondsey-london-2206247786822,"Yugo Element Bermondsey, London",https://yugo.com/en-gb/global/united-kingdom/london/element-bermondsey,325.0,GBP,week,325.0,510.0,325.0,"Alscot Rd, London SE1 3AY, UK",London,GB,SE1 3AY,51.4940179,-0.0739186,4.8,6,student_accommodation,https://assets.amberstudent.com/inventories/221274/c5ec444d.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:fusion-brent-cross-town-london-2502064252833,"Fusion Brent Cross Town, London",https://www.fusionstudents.co.uk/property/brent-cross-town/,325.0,GBP,week,325.0,460.0,325.0,"Pavilion, 145 Claremont Rd, Brent Cross, London NW2 1FE, UK",London,GB,NW2 1FE,51.5712067,-0.220024,4.5,2,student_accommodation,https://assets.amberstudent.com/inventories/1629766/c78f1f25.webp,,https://amberstudent.com/places/search/london-1811028205760
amberstudent,amberstudent:iq-tufnell-house-london-1811160503086,"iQ Tufnell House, London",https://www.iqstudentaccommodation.com/search/building/tufnell-house?year=2019-20,329.0,GBP,week,329.0,494.0,329.0,"144 Huddleston Rd, London N7 0EG, UK",London,GB,N7 0EG,51.5594284,-0.1342668,4.9,14,student_accommodation,https://assets.amberstudent.com/inventories/176151/4c0c786e.webp,,https://amberstudent.com/places/search/london-1811028205760
